customer_id,customer_name,city,signup_date
1,David Smith,Chicago,2025-01-13
2,Helen Johnson,Seattle,2026-02-14
3,Julia Miller,San Francisco,2025-01-24
4,Frank Garcia,Miami,2026-02-17
5,David Smith,Seattle,2025-12-20
6,Eva Jones,Chicago,2025-06-07
7,Eva Garcia,New York,2025-02-28
8,Frank Garcia,San Francisco,2026-01-06
9,Julia Smith,Dallas,2025-04-10
10,Frank Garcia,Austin,2025-08-31
11,Alice Williams,Austin,2025-03-21
12,Helen Garcia,Austin,2026-02-06
13,Grace Smith,Miami,2025-06-03
14,Julia Garcia,Miami,2025-10-02
15,Alice Brown,Denver,2025-12-17
16,Frank Garcia,Chicago,2025-03-18
17,Eva Smith,Atlanta,2025-07-12
18,Ian Williams,Denver,2025-11-07
19,Grace Williams,Denver,2025-03-01
20,Eva Garcia,New York,2025-05-20
21,Grace Johnson,Austin,2026-03-26
22,David Garcia,Austin,2026-03-01
23,Eva Brown,Miami,2025-06-04
24,Charlie Johnson,Atlanta,2026-02-06
25,Alice Brown,Chicago,2025-08-16
26,Ian Smith,Austin,2025-09-14
27,Charlie Brown,Atlanta,2025-09-05
28,Ian Jones,Atlanta,2025-03-15
29,Bob Williams,Seattle,2026-01-06
30,Alice Davis,San Francisco,2026-01-01
31,Ian Johnson,New York,2025-06-09
32,Alice Johnson,Atlanta,2025-08-28
33,Alice Johnson,Miami,2026-01-28
34,Eva Smith,Denver,2026-01-24
35,Eva Brown,Atlanta,2025-04-13
36,David Jones,Boston,2025-09-30
37,Frank Davis,Chicago,2025-05-20
38,Charlie Williams,Boston,2025-02-28
39,Alice Johnson,Seattle,2025-10-05
40,Frank Garcia,Boston,2025-03-14
41,Eva Brown,Dallas,2025-02-06
42,Eva Garcia,Miami,2025-08-16
43,Alice Williams,New York,2025-08-30
44,Alice Johnson,San Francisco,2025-01-28
45,Bob Miller,San Francisco,2025-04-02
46,Julia Davis,Denver,2025-07-02
47,Eva Garcia,Seattle,2026-01-01
48,Ian Johnson,Austin,2025-10-18
49,Charlie Johnson,Austin,2025-02-19
50,Helen Jones,Austin,2025-08-29
51,David Brown,Dallas,2026-03-17
52,Julia Jones,Atlanta,2025-07-20
53,Charlie Garcia,Atlanta,2025-08-21
54,Helen Smith,Chicago,2025-09-01
55,Bob Garcia,Austin,2025-08-25
56,Charlie Jones,Atlanta,2025-11-06
57,Julia Williams,Miami,2025-02-22
58,Grace Johnson,Atlanta,2025-10-12
59,Bob Jones,Miami,2025-08-25
60,Grace Miller,Seattle,2025-11-14
61,David Williams,Austin,2025-07-16
62,Bob Garcia,Seattle,2026-02-21
63,Julia Miller,San Francisco,2025-10-18
64,Frank Brown,Dallas,2025-12-06
65,Bob Davis,Chicago,2025-10-31
66,Julia Davis,Atlanta,2025-10-12
67,Bob Davis,Dallas,2025-06-07
68,Grace Johnson,Denver,2025-02-25
69,Julia Miller,Atlanta,2025-09-11
70,Alice Johnson,Seattle,2026-02-23
71,Charlie Smith,Dallas,2025-12-05
72,Charlie Davis,Miami,2025-05-30
73,Grace Davis,Seattle,2025-04-16
74,Frank Jones,Denver,2026-02-11
75,Eva Miller,Atlanta,2025-02-15
76,Julia Smith,Denver,2025-09-19
77,Grace Williams,Boston,2025-02-01
78,Frank Smith,New York,2025-12-27
79,Ian Garcia,Chicago,2026-03-17
80,Eva Smith,Seattle,2025-08-10
81,Julia Miller,Atlanta,2025-12-31
82,Grace Miller,San Francisco,2025-08-11
83,Ian Brown,Dallas,2025-09-01
84,Charlie Brown,Miami,2025-07-16
85,Frank Miller,Dallas,2025-05-28
86,Charlie Williams,New York,2025-02-06
87,Alice Williams,Austin,2025-12-03
88,Grace Williams,Chicago,2025-03-12
89,Grace Davis,Denver,2025-08-06
90,Julia Williams,Austin,2025-09-18
91,Grace Davis,San Francisco,2025-07-01
92,David Williams,San Francisco,2025-11-06
93,Alice Davis,Seattle,2025-12-31
94,Ian Jones,San Francisco,2025-10-07
95,Julia Garcia,New York,2025-01-20
96,Julia Davis,Atlanta,2025-02-27
97,Julia Davis,Chicago,2025-03-14
98,Ian Jones,Austin,2025-09-22
99,Bob Johnson,Seattle,2025-08-30
100,Bob Jones,Denver,2025-01-28
101,Frank Smith,Austin,2025-08-21
102,Ian Davis,Denver,2026-01-11
103,Frank Miller,Atlanta,2026-02-13
104,Eva Jones,Dallas,2025-01-19
105,Julia Jones,Denver,2025-05-14
106,Alice Davis,Denver,2025-03-28
107,Julia Smith,Boston,2026-02-19
108,Julia Smith,Boston,2025-09-06
109,Bob Williams,Miami,2025-02-09
110,Eva Jones,Dallas,2025-11-12
111,Eva Jones,Boston,2025-01-08
112,Bob Williams,Denver,2026-01-14
113,Charlie Davis,Atlanta,2026-02-18
114,Charlie Jones,Seattle,2025-09-06
115,Charlie Smith,Atlanta,2025-02-13
116,Charlie Williams,Austin,2026-01-21
117,Grace Miller,Seattle,2025-12-05
118,Helen Williams,Seattle,2025-10-23
119,Frank Smith,Boston,2026-01-22
120,Bob Smith,Dallas,2025-08-26
121,Grace Davis,Boston,2025-09-01
122,Ian Brown,San Francisco,2025-12-16
123,Grace Davis,Boston,2025-03-16
124,Ian Miller,New York,2025-05-28
125,Helen Miller,Atlanta,2025-09-29
126,Alice Johnson,Miami,2025-11-23
127,Frank Miller,Denver,2025-11-30
128,Eva Garcia,Boston,2025-05-17
129,Bob Jones,Denver,2025-07-20
130,Helen Brown,Denver,2026-01-30
131,David Garcia,Dallas,2025-06-10
132,Ian Smith,New York,2026-03-02
133,Bob Smith,San Francisco,2025-02-20
